,Property_name,Location,Rating,Review,Type_of_stay,price,Taxes_and_charges_inr,City,No_Of_Adults,No_Of_Children,Final_Price,Recommended for
363,treebo anam international,"south mumbai, mumbai",6.3,review score,4×standard double room4 large double bedsfree cancellationno prepayment needed– pay at the property,61123.0,7335.0,mumbai,6,4,68458.0,recommended for family trip
364,osi apartments lilavati bandra,"bandra, mumbai",8.1,very good,2×one-bedroom apartment2 entire apartments,49350.0,5922.0,mumbai,6,4,55272.0,recommended for family trip
365,super hotel o sunrise executive,"western suburbs, mumbai",7.3,good,4×classic triple room4 large double bedsfree cancellationno prepayment needed– pay at the property,23686.0,3692.0,mumbai,10,0,27378.0,recommended for friends trip
366,super townhouse marol near mumbai airport,"western suburbs, mumbai",6.7,review score,"4×classic triple room12 beds (4 extra-large doubles, 8 large doubles)free cancellationno prepayment needed– pay at the property",38432.0,5462.0,mumbai,10,0,43894.0,recommended for friends trip
367,hotel suites inn,"western suburbs, mumbai",8.2,No Review,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,32384.0,3886.0,mumbai,10,0,36270.0,recommended for friends trip
368,hotel o didar house,mumbai,8.2,No Review,4×classic triple room4 large double bedsfree cancellationno prepayment needed– pay at the property,40617.0,5724.0,mumbai,10,0,46341.0,recommended for friends trip
369,super hotel o khar east near railway station,"khar, mumbai",7.6,good,4×classic triple room4 large double bedsfree cancellationno prepayment needed– pay at the property,28952.0,4324.0,mumbai,10,0,33276.0,recommended for friends trip
370,hotel zara international,"western suburbs, mumbai",7.5,good,"1×deluxe triple room3 beds (1 single, 1 extra-large double, 1 futon)free cancellationno prepayment needed– pay at the property",44460.0,5335.0,mumbai,10,0,49795.0,recommended for friends trip
371,dhanvantari luxury hotel near kokilaben dhirubhai ambani hospital mumbai,"western suburbs, mumbai",7.8,good,1×deluxe double room (2 adults + 1 child)1 double bedfree cancellationno prepayment needed– pay at the property,72184.0,8662.0,mumbai,10,0,80846.0,recommended for friends trip
372,hotel kailash park- near international airport,"western suburbs, mumbai",6.8,review score,1×double room1 large double bedfree cancellationno prepayment needed– pay at the property,32388.0,3887.0,mumbai,10,0,36275.0,recommended for friends trip
373,hotel o class inn,"western suburbs, mumbai",7.2,good,4×classic triple room4 large double bedsfree cancellationno prepayment needed– pay at the property,25515.0,3912.0,mumbai,10,0,29427.0,recommended for friends trip
374,super hotel o palace inn near don bosco (borivali) metro station,"western suburbs, mumbai",6.6,review score,5×standard double room5 large double bedsfree cancellationno prepayment needed– pay at the property,23647.0,4219.0,mumbai,10,0,27866.0,recommended for friends trip
375,super collection o goregaon near film city formerly cupid,"western suburbs, mumbai",7.1,good,4×classic triple room4 large double bedsfree cancellationno prepayment needed– pay at the property,38805.0,5507.0,mumbai,10,0,44312.0,recommended for friends trip
376,hotel airport annex,"western suburbs, mumbai",6.0,review score,"1×deluxe quadruple room3 beds (1 double, 2 sofa beds)free cancellationno prepayment needed– pay at the property",33500.0,4020.0,mumbai,10,0,37520.0,recommended for friends trip
377,hotel victoria city mumbai,"south mumbai, mumbai",7.4,good,1×deluxe family room2 double bedsfree cancellationno prepayment needed– pay at the property,54667.0,6560.0,mumbai,10,0,61227.0,recommended for friends trip
378,hotel atlas plaza by bizzgrow hotels,"western suburbs, mumbai",8.2,very good,2×deluxe twin room4 single bedsfree cancellationno prepayment needed– pay at the property,52020.0,6242.0,mumbai,10,0,58262.0,recommended for friends trip
379,hotel galaxy in metro,mumbai,8.2,No Review,2×double room2 double bedsfree cancellationno prepayment needed– pay at the property,29105.0,3493.0,mumbai,2,2,32598.0,recommended for family trip
380,hotel o didar house,mumbai,8.2,No Review,2×classic triple room2 large double bedsfree stay for 1 of your childrenfree cancellationno prepayment needed– pay at the property,18487.0,2558.0,mumbai,2,2,21045.0,recommended for family trip
381,radisson blu mumbai international airport,"western suburbs, mumbai",9.0,No Review,2×superior double or twin room2 double beds,68000.0,8160.0,mumbai,2,2,76160.0,recommended for family trip
382,fabhotel prime palm grove - nr bkc,"central suburbs, mumbai",9.3,superb,2×deluxe room2 double bedsfree stay for 1 of your childrenfree cancellationno prepayment needed– pay at the property,20865.0,2504.0,mumbai,2,2,23369.0,recommended for family trip
383,hotel white pearl - colaba mumbai,"colaba, mumbai",8.5,very good,2×deluxe double room2 double bedsfree cancellationno prepayment needed– pay at the property,32500.0,3900.0,mumbai,2,2,36400.0,recommended for family trip
384,treebo lake bloom powai,"powai, mumbai",6.1,review score,2×standard double room2 large double bedsfree stay for 1 of your childrenfree cancellationno prepayment needed– pay at the property,17045.0,2045.0,mumbai,2,2,19090.0,recommended for family trip
385,lotus grand mumbai near international airport,"western suburbs, mumbai",7.1,good,2×double room2 double bedsfree stay for 1 of your childrenfree cancellationno prepayment needed– pay at the property,18801.0,2256.0,mumbai,2,2,21057.0,recommended for family trip
386,meritas adore resort,lonavala,8.0,very good,2×deluxe room2 large double bedsfree cancellation,50341.0,6041.0,lonavala,2,2,56382.0,recommended for family trip
387,glacier view guest house,leh,8.7,fabulous,5×superior double room10 single bedsfree cancellation,31500.0,3780.0,leh,10,0,35280.0,recommended for friends trip
388,rainbow hostelier,leh,8.8,fabulous,2×bed in 6-bed mixed dormitory room2 beds in dormitories2 bunk bedsfree cancellationno prepayment needed– pay at the property,29565.0,3548.0,leh,10,0,33113.0,recommended for friends trip
389,nilza guest house,leh,9.2,superb,1×double room with private bathroom1 double bedfree cancellationno prepayment needed– pay at the property,25485.0,3058.0,leh,10,0,28543.0,recommended for friends trip
390,the morning sky hotel,leh,8.8,fabulous,1×6-bed mixed dormitory roomshared dormitory room7 bunk bedsfree cancellation,50965.0,6116.0,leh,10,0,57081.0,recommended for friends trip
391,raybo hostel,leh,9.2,superb,4×bed in 6-bed mixed dormitory room4 beds in dormitories4 bunk bedsfree cancellation,32500.0,3900.0,leh,10,0,36400.0,recommended for friends trip
392,laksdup guest house,leh,7.8,good,2×deluxe room2 double bedsfree cancellation,45600.0,5472.0,leh,10,0,51072.0,recommended for friends trip
393,apricus hotel,leh,9.4,superb,5×double room with mountain view10 large double bedsfree cancellationno prepayment needed– pay at the property,45000.0,5400.0,leh,10,0,50400.0,recommended for friends trip
394,himalayan regal house,deskit,9.2,superb,1×deluxe double room with castle view1 extra-large double bedfree cancellation,41225.0,4947.0,deskit,10,0,46172.0,recommended for friends trip
395,lehostel,leh,8.3,very good,10×bed in 6-bed mixed dormitory room10 beds in dormitories10 bunk beds,15924.0,1911.0,leh,10,0,17835.0,recommended for friends trip
396,tsaskan hotel,leh,8.3,very good,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,37500.0,4500.0,leh,10,0,42000.0,recommended for friends trip
397,heschuk guest house,leh,9.4,superb,2×double room with mountain view2 large double bedsfree cancellationno prepayment needed– pay at the property,44350.0,5322.0,leh,10,0,49672.0,recommended for friends trip
398,oogpa house - boutique homestay,leh,8.2,exceptional,4×superior double or twin room with mountain view4 double bedsfree cancellationno prepayment needed– pay at the property,62273.0,7473.0,leh,10,0,69746.0,recommended for friends trip
399,cozy villa home stay stongsteth nubra near saichen glacier,kimi,8.2,No Review,3×double room12 double bedsfree cancellationno prepayment needed– pay at the property,23000.0,2760.0,kimi,10,0,25760.0,recommended for friends trip
400,hotel el castello,leh,8.5,very good,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,62500.0,7500.0,leh,10,0,70000.0,recommended for friends trip
401,youthok guest house,leh,9.0,superb,1×family room with bathroom4 single bedsfree cancellation,48000.0,5760.0,leh,10,0,53760.0,recommended for friends trip
402,sangto green guest house,leh,9.1,superb,4×double room with mountain view4 extra-large double bedsfree cancellation,49680.0,5962.0,leh,10,0,55642.0,recommended for friends trip
403,the latsas,hundar,8.2,No Review,"4×superior double room8 beds (4 doubles, 4 futons)free cancellationno prepayment needed– pay at the property",50400.0,6048.0,hundar,10,0,56448.0,recommended for friends trip
