,Property_name,Location,Rating,Review,Type_of_stay,price,Taxes_and_charges_inr,City,No_Of_Adults,No_Of_Children,Final_Price,Recommended for
484,kurinji wanderlust resort munnar,munnar,8.4,very good,4×deluxe room4 double beds,36304.0,4357.0,munnar,6,4,40661.0,recommended for family trip
485,kurinji wanderlust resort munnar,munnar,8.4,very good,"1×deluxe family room2 beds (1 single, 1 large double)",33011.0,3961.0,munnar,10,0,36972.0,recommended for friends trip
486,monsoon grande,munnar,8.4,very good,4×grand deluxechoice of beds: double or singles,48144.0,5777.0,munnar,10,0,53921.0,recommended for friends trip
487,munnar home stay,munnar,8.4,very good,"3×budget triple room18 beds (12 singles, 6 doubles)free cancellation",20000.0,2400.0,munnar,10,0,22400.0,recommended for friends trip
488,nest in mist munnar service villa,munnar,8.6,fabulous,1×deluxe triple room3 large double bedsfree cancellation,35750.0,4290.0,munnar,10,0,40040.0,recommended for friends trip
489,ice mist pool resort munnar by voye homes,munnar,7.5,good,2×standard quadruple room2 large double bedsfree cancellation,72325.0,8679.0,munnar,10,0,81004.0,recommended for friends trip
490,munnar tea estate cottage and resort - away from city hustle,munnar,7.3,good,3×deluxe double room with balcony3 extra-large double bedsfree cancellationno prepayment needed– pay at the property,64850.0,7782.0,munnar,10,0,72632.0,recommended for friends trip
491,red star holidays,munnar,7.6,good,2×deluxe double room2 large double bedsfree cancellationno prepayment needed– pay at the property,33000.0,3960.0,munnar,10,0,36960.0,recommended for friends trip
492,deshadan mountain resort -the highest resort in munnar,munnar,8.7,fabulous,1×standard 2-bedroom family cottage2 large double beds,70119.0,8414.0,munnar,10,0,78533.0,recommended for friends trip
493,vibgyor homes,munnar,8.3,very good,4×deluxe double room with extra bed4 double bedsfree cancellationno prepayment needed– pay at the property,27402.0,3288.0,munnar,10,0,30690.0,recommended for friends trip
494,edens munnar,munnar,8.1,very good,5×deluxe double or twin room5 large double bedsfree cancellation,82500.0,9900.0,munnar,10,0,92400.0,recommended for friends trip
495,achus holidays,munnar,7.8,good,4×deluxe double room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,28481.0,3418.0,munnar,10,0,31899.0,recommended for friends trip
496,adam homes,alwaye,9.7,exceptional,2×two-bedroom apartment2 entire apartments,35904.0,4308.0,alwaye,10,0,40212.0,recommended for friends trip
497,palm view kanthalloor,kanthalloor,6.4,review score,2×deluxe family room4 large double bedsfree cancellationno prepayment needed– pay at the property,18375.0,2205.0,kanthalloor,10,0,20580.0,recommended for friends trip
498,"the hosteller wayanad, vythiri",vythiri,8.4,very good,10×bed in 8-bed mixed dormitory room10 beds in dormitories10 bunk bedsfree cancellation,27838.0,3341.0,vythiri,10,0,31179.0,recommended for friends trip
499,"the raarees mist resort, munnar - nested in nature's lap",munnar,7.8,good,3×superior king room3 double bedsfree cancellationno prepayment needed– pay at the property,79970.0,9596.0,munnar,10,0,89566.0,recommended for friends trip
500,brighton stays,sultan bathery,8.7,fabulous,1×standard family room1 double bedfree cancellationno prepayment needed– pay at the property,21694.0,2603.0,sultan bathery,10,0,24297.0,recommended for friends trip
501,attiri apartments,wandūr,8.2,exceptional,1×two-bedroom deluxe apartmententire apartment,23490.0,2819.0,wandūr,10,0,26309.0,recommended for friends trip
502,gmr suites,kalpetta,7.7,good,2×two-bedroom apartment2 entire apartments,25358.0,3043.0,kalpetta,10,0,28401.0,recommended for friends trip
503,johnson's homestay - ecohouseboat,alleppey,9.1,superb,"1×quadruple room with private bathroom3 beds (2 singles, 1 large double)free cancellation",38750.0,4650.0,alleppey,10,0,43400.0,recommended for friends trip
504,900 woods wayanad eco resort - a sprawling jungle stay near glass bridge,meppādi,8.6,fabulous,3×deluxe double roomchoice of beds: large double or singlesfree cancellation,70970.0,8516.0,meppādi,10,0,79486.0,recommended for friends trip
505,ushasree wayanad heritage premium pool resort by voye homes,ambalavayal,8.1,very good,1×budget double room1 double bed,79200.0,9504.0,ambalavayal,10,0,88704.0,recommended for friends trip
506,molly's hostel,varkala,8.5,very good,2×bed in 4-bed mixed dormitory room2 beds in dormitories2 bunk bedsfree cancellation,21750.0,2610.0,varkala,10,0,24360.0,recommended for friends trip
507,zyamadhari,mananthavady,9.2,superb,1×two-bedroom townhouseentire holiday home,69683.0,10670.0,mananthavady,10,0,80353.0,recommended for friends trip
508,wind valley,ramakkalmedu,9.3,superb,1×mixed dormitory roomshared dormitory room,31155.0,0.0,ramakkalmedu,10,0,31155.0,recommended for friends trip
509,space rock resort,kalpetta,9.3,superb,3×suite with mountain view3 private suites3 large double bedsno prepayment needed– pay at the property,77600.0,9312.0,kalpetta,10,0,86912.0,recommended for friends trip
510,fort bridge view,"fort kochi, cochin",7.9,good,1×budget double room1 double bedfree cancellationno prepayment needed– pay at the property,49598.0,5952.0,cochin,10,0,55550.0,recommended for friends trip
511,"treebo brahma, wayanad",sultan bathery,6.5,review score,2×standard room with king bed2 extra-large double bedsfree cancellationno prepayment needed– pay at the property,55046.0,6605.0,sultan bathery,10,0,61651.0,recommended for friends trip
512,adam homes,alwaye,9.7,exceptional,2×two-bedroom apartment2 entire apartments,28723.0,3447.0,alwaye,10,0,32170.0,recommended for friends trip
513,"the hosteller wayanad, vythiri",vythiri,8.4,very good,10×bed in 8-bed mixed dormitory room10 beds in dormitories10 bunk bedsfree cancellation,31099.0,3732.0,vythiri,10,0,34831.0,recommended for friends trip
514,ashramam health resort,kattappana,8.5,very good,1×mixed dormitory roomshared dormitory room,13057.0,1567.0,kattappana,10,0,14624.0,recommended for friends trip
515,munnar tea estate cottage and resort - away from city hustle,munnar,7.3,good,5×deluxe double room with balcony5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,74750.0,8970.0,munnar,10,0,83720.0,recommended for friends trip
516,utsavam hotel apartments,guruvāyūr,7.6,good,1×studioentire studio,30690.0,3683.0,guruvāyūr,10,0,34373.0,recommended for friends trip
517,irish county vagamon pool resort by voye homes,vagamon,6.1,review score,2×standard non ac room4 double bedsfree cancellation,63500.0,7620.0,vagamon,10,0,71120.0,recommended for friends trip
518,molly's hostel,varkala,8.5,very good,2×bunk bed in mixed dormitory room2 beds in dormitories2 bunk bedsfree cancellation,24968.0,2996.0,varkala,10,0,27964.0,recommended for friends trip
519,johnson's homestay - ecohouseboat,alleppey,9.1,superb,"1×quadruple room with private bathroom3 beds (2 singles, 1 large double)free cancellation",66750.0,8010.0,alleppey,10,0,74760.0,recommended for friends trip
520,kovalam beach house,trivandrum,8.2,very good,1×deluxe double room (2 adults + 1 child)1 double bedfree cancellationno prepayment needed– pay at the property,50818.0,6098.0,trivandrum,10,0,56916.0,recommended for friends trip
521,transit suites by grandwest,nedumbassery,7.8,good,1×two bedroom premium suiteentire apartment,48494.0,5819.0,nedumbassery,10,0,54313.0,recommended for friends trip
522,adam homes,alwaye,9.7,exceptional,2×two-bedroom apartment2 entire apartments,28723.0,3447.0,alwaye,8,2,32170.0,recommended for family trip
523,palm view kanthalloor,kanthalloor,6.4,review score,2×deluxe family room4 large double bedsfree cancellationno prepayment needed– pay at the property,18375.0,2205.0,kanthalloor,8,2,20580.0,recommended for family trip
524,utsavam hotel apartments,guruvāyūr,7.6,good,1×studioentire studio,30690.0,3683.0,guruvāyūr,8,2,34373.0,recommended for family trip
525,ashramam health resort,kattappana,8.5,very good,1×mixed dormitory roomshared dormitory room,14967.0,1796.0,kattappana,8,2,16763.0,recommended for family trip
526,gmr suites,kalpetta,7.7,good,2×two-bedroom apartment2 entire apartments,25358.0,3043.0,kalpetta,8,2,28401.0,recommended for family trip
527,"the hosteller wayanad, vythiri",vythiri,8.4,very good,1×deluxe double room1 double bedfree cancellation,41337.0,4960.0,vythiri,8,2,46297.0,recommended for family trip
528,attiri apartments,wandūr,8.2,exceptional,1×two-bedroom deluxe apartmententire apartment,23490.0,2819.0,wandūr,8,2,26309.0,recommended for family trip
529,johnson's homestay - ecohouseboat,alleppey,9.1,superb,"1×quadruple room with private bathroom3 beds (2 singles, 1 large double)free cancellation",66750.0,8010.0,alleppey,8,2,74760.0,recommended for family trip
530,transit suites by grandwest,nedumbassery,7.8,good,1×two bedroom premium suiteentire apartment,48494.0,5819.0,nedumbassery,8,2,54313.0,recommended for family trip
531,irish county vagamon pool resort by voye homes,vagamon,6.1,review score,2×standard non ac room4 double bedsfree cancellation,72700.0,8724.0,vagamon,8,2,81424.0,recommended for family trip
532,fort bridge view,"fort kochi, cochin",7.9,good,1×budget double room1 double bedfree cancellationno prepayment needed– pay at the property,49598.0,5952.0,cochin,8,2,55550.0,recommended for family trip
533,zyamadhari,mananthavady,9.2,superb,1×two-bedroom townhouseentire holiday home,69683.0,10670.0,mananthavady,8,2,80353.0,recommended for family trip
534,palm view kanthalloor,kanthalloor,6.4,review score,2×deluxe family room4 large double bedsfree cancellationno prepayment needed– pay at the property,18375.0,2205.0,kanthalloor,6,4,20580.0,recommended for family trip
535,900 woods wayanad eco resort - a sprawling jungle stay near glass bridge,meppādi,8.6,fabulous,2×budget double room2 large double bedsfree cancellation,73458.0,8815.0,meppādi,6,4,82273.0,recommended for family trip
536,niyatma wayanad pool resort by voye homes,wayanad,7.9,good,1×aqua front superior cottage1 extra-large double bedfree cancellation,86940.0,10433.0,wayanad,6,4,97373.0,recommended for family trip
537,ashramam health resort,kattappana,8.5,very good,1×mixed dormitory roomshared dormitory room,15197.0,1824.0,kattappana,6,4,17021.0,recommended for family trip
538,avadale thekkady - stag groups not allowed,thekkady,8.5,very good,1×standard double room1 extra-large double bedfree cancellation,47680.0,5722.0,thekkady,6,4,53402.0,recommended for family trip
539,transit suites by grandwest,nedumbassery,7.8,good,2×two bedroom premium suite2 entire apartments,41608.0,4993.0,nedumbassery,6,4,46601.0,recommended for family trip
540,gmr suites,kalpetta,7.7,good,2×two-bedroom apartment2 entire apartments,25358.0,3043.0,kalpetta,6,4,28401.0,recommended for family trip
541,avadale wayanad - stag groups not allowed,kalpetta,8.9,fabulous,"1×standard cottage2 beds (1 large double, 1 futon)free cancellation",83200.0,9984.0,kalpetta,6,4,93184.0,recommended for family trip
542,dolphin enclave service studio apartments,kalpetta,8.5,very good,3×budget double room3 double bedsfree cancellationno prepayment needed– pay at the property,34500.0,4140.0,kalpetta,6,4,38640.0,recommended for family trip
543,johnson's homestay - ecohouseboat,alleppey,9.1,superb,"1×quadruple room with private bathroom3 beds (2 singles, 1 large double)free cancellation",51750.0,6210.0,alleppey,6,4,57960.0,recommended for family trip
544,attiri apartments,wandūr,8.2,exceptional,1×two-bedroom deluxe apartmententire apartment,23490.0,2819.0,wandūr,6,4,26309.0,recommended for family trip
545,athirappilly rainland resort,athirappilly,8.5,very good,4×deluxe double room4 extra-large double bedsfree cancellation,83506.0,10021.0,athirappilly,6,4,93527.0,recommended for family trip
546,hotel broadway annecy darjeeling - near mall road with luxury & spacious room - book now,darjeeling,7.2,good,4×deluxe double room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,23980.0,2878.0,darjeeling,6,4,26858.0,recommended for family trip
547,gorkha heritage home,darjeeling,8.0,very good,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,21660.0,2599.0,darjeeling,6,4,24259.0,recommended for family trip
548,hotel golden orchid,darjeeling,8.0,very good,1×budget double room1 single bedfree cancellation,29590.0,3551.0,darjeeling,6,4,33141.0,recommended for family trip
549,hotel premium olive branch near chowrasta tourist attraction,darjeeling,8.2,exceptional,4×standard double room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,29300.0,3516.0,darjeeling,6,4,32816.0,recommended for family trip
550,jai hotels,darjeeling,8.0,very good,5×double deluxe room with 10% discount on soft beverages at j4 cafe5 large double bedsfree cancellationno prepayment needed– pay at the property,80198.0,9624.0,darjeeling,6,4,89822.0,recommended for family trip
551,himalayan meadows,darjeeling,7.0,good,1×deluxe room1 large double bedfree cancellation,33300.0,3996.0,darjeeling,6,4,37296.0,recommended for family trip
552,norbu's homestay,darjeeling,8.7,fabulous,1×double room with mountain view1 double bedfree cancellation,42750.0,5130.0,darjeeling,6,4,47880.0,recommended for family trip
553,a premium hotel olive branch darjeeling near gurudwara - best hotel in darjeelig,darjeeling,8.2,exceptional,1×family room with mountain view2 extra-large double bedsfree cancellationno prepayment needed– pay at the property,37225.0,4467.0,darjeeling,6,4,41692.0,recommended for family trip
554,hotel kasturi palace & restaurant darjeeling,darjeeling,8.1,very good,"1×family room with mountain view3 beds (2 singles, 1 large double)free cancellationno prepayment needed– pay at the property",35000.0,4200.0,darjeeling,6,4,39200.0,recommended for family trip
555,luxury stay at hotel broadway boutique mall road chowrasta near mahakal temple,darjeeling,8.5,very good,"4×double room with mountain view8 beds (4 doubles, 4 large doubles)",47880.0,5746.0,darjeeling,6,4,53626.0,recommended for family trip
556,graham hill homestay,darjeeling,8.2,No Review,1×family room1 double bedfree cancellationno prepayment needed– pay at the property,22050.0,2646.0,darjeeling,6,4,24696.0,recommended for family trip
557,radhakunj homestay,darjeeling,9.0,superb,"2×triple room8 beds (4 extra-large doubles, 4 sofa beds)free cancellationno prepayment needed– pay at the property",28500.0,3420.0,darjeeling,6,4,31920.0,recommended for family trip
558,hotel tara palace darjeeling,darjeeling,8.4,very good,2×double room with mountain view2 large double bedsfree cancellation,37000.0,4440.0,darjeeling,6,4,41440.0,recommended for family trip
559,mountain view homestay darjeeling,darjeeling,8.6,fabulous,4×king room with mountain view8 double bedsfree cancellationno prepayment needed– pay at the property,39375.0,4725.0,darjeeling,6,4,44100.0,recommended for family trip
560,asraya homestay,darjeeling,9.3,superb,1×double room with balcony1 large double bedfree cancellationno prepayment needed– pay at the property,46500.0,5580.0,darjeeling,6,4,52080.0,recommended for family trip
561,b&b homestay,darjeeling,9.0,superb,1×double room with balcony (2 adults + 1 child)1 large double bedfree cancellation,30000.0,3600.0,darjeeling,6,4,33600.0,recommended for family trip
562,little tibet resort mall road,darjeeling,6.9,review score,4×deluxe double or twin roomchoice of beds: singles or doublefree cancellation,69500.0,8340.0,darjeeling,6,4,77840.0,recommended for family trip
563,lopchan homesstay,darjeeling,9.6,exceptional,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,15000.0,1800.0,darjeeling,6,4,16800.0,recommended for family trip
564,gorkha heritage home,darjeeling,8.0,very good,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,21660.0,2599.0,darjeeling,10,0,24259.0,recommended for friends trip
565,hotel broadway annecy darjeeling - near mall road with luxury & spacious room - book now,darjeeling,7.2,good,5×deluxe double room5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,29975.0,3597.0,darjeeling,10,0,33572.0,recommended for friends trip
566,hotel golden orchid,darjeeling,8.0,very good,1×budget double room1 single bedfree cancellation,35750.0,4290.0,darjeeling,10,0,40040.0,recommended for friends trip
567,hotel premium olive branch near chowrasta tourist attraction,darjeeling,8.2,exceptional,5×standard double room5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,36625.0,4395.0,darjeeling,10,0,41020.0,recommended for friends trip
568,pathfinder's nest hostel,darjeeling,8.8,fabulous,3×single bed in female dormitory room3 beds in dormitories3 double bedsfree cancellation,23171.0,2781.0,darjeeling,10,0,25952.0,recommended for friends trip
569,graham hill homestay,darjeeling,8.2,No Review,1×family room1 double bedfree cancellationno prepayment needed– pay at the property,22050.0,2646.0,darjeeling,10,0,24696.0,recommended for friends trip
570,hosanna homestay,darjeeling,9.3,superb,1×chaletentire chalet,52000.0,6240.0,darjeeling,10,0,58240.0,recommended for friends trip
571,hotel kasturi palace & restaurant darjeeling,darjeeling,8.1,very good,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,37500.0,4500.0,darjeeling,10,0,42000.0,recommended for friends trip
572,a premium hotel olive branch darjeeling near gurudwara - best hotel in darjeelig,darjeeling,8.2,exceptional,5×standard king room5 large double bedsfree cancellationno prepayment needed– pay at the property,36625.0,4395.0,darjeeling,10,0,41020.0,recommended for friends trip
573,mountain view homestay darjeeling,darjeeling,8.6,fabulous,4×king room with mountain view8 double bedsfree cancellationno prepayment needed– pay at the property,39375.0,4725.0,darjeeling,10,0,44100.0,recommended for friends trip
574,norbu's homestay,darjeeling,8.7,fabulous,1×double room with mountain view1 double bedfree cancellation,53500.0,6420.0,darjeeling,10,0,59920.0,recommended for friends trip
575,himalayan meadows,darjeeling,7.0,good,1×deluxe room1 large double bedfree cancellation,44100.0,5292.0,darjeeling,10,0,49392.0,recommended for friends trip
576,"hidden monkey backpackers, railway station, darjeeling",darjeeling,8.8,fabulous,2×bed in 6-bed mixed dormitory room2 beds in dormitories2 bunk bedsfree cancellation,28045.0,3365.0,darjeeling,10,0,31410.0,recommended for friends trip
577,b&b homestay,darjeeling,9.0,superb,1×double room with balcony (2 adults + 1 child)1 large double bedfree cancellation,30000.0,3600.0,darjeeling,10,0,33600.0,recommended for friends trip
578,jai hotels,darjeeling,8.0,very good,5×double deluxe room with 10% discount on soft beverages at j4 cafe5 large double bedsfree cancellationno prepayment needed– pay at the property,80198.0,9624.0,darjeeling,10,0,89822.0,recommended for friends trip
579,luxury stay at hotel broadway boutique mall road chowrasta near mahakal temple,darjeeling,8.5,very good,"1×deluxe family suite2 beds (1 double, 1 large double)free cancellationno prepayment needed– pay at the property",57840.0,6941.0,darjeeling,10,0,64781.0,recommended for friends trip
580,asraya homestay,darjeeling,9.3,superb,1×double room with balcony1 large double bedfree cancellationno prepayment needed– pay at the property,46500.0,5580.0,darjeeling,10,0,52080.0,recommended for friends trip
581,radhakunj homestay,darjeeling,9.0,superb,"2×triple room8 beds (4 extra-large doubles, 4 sofa beds)free cancellationno prepayment needed– pay at the property",28500.0,3420.0,darjeeling,10,0,31920.0,recommended for friends trip
582,munglan homestay,darjeeling,9.2,superb,"1×double room with terrace2 beds (1 single, 1 double)free cancellationno prepayment needed– pay at the property",28375.0,3405.0,darjeeling,10,0,31780.0,recommended for friends trip
583,basosthaan homestay,darjeeling,7.5,good,5×double room with mountain view5 double bedsfree cancellationno prepayment needed– pay at the property,37500.0,4500.0,darjeeling,10,0,42000.0,recommended for friends trip
584,lopchan homesstay,darjeeling,9.6,exceptional,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,15000.0,1800.0,darjeeling,10,0,16800.0,recommended for friends trip
585,gorkha heritage home,darjeeling,8.0,very good,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,21660.0,2599.0,darjeeling,8,2,24259.0,recommended for family trip
586,hotel broadway annecy darjeeling - near mall road with luxury & spacious room - book now,darjeeling,7.2,good,5×deluxe double room5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,29975.0,3597.0,darjeeling,8,2,33572.0,recommended for family trip
587,hotel golden orchid,darjeeling,8.0,very good,1×budget double room1 single bedfree cancellation,35750.0,4290.0,darjeeling,8,2,40040.0,recommended for family trip
588,hotel premium olive branch near chowrasta tourist attraction,darjeeling,8.2,exceptional,5×standard double room5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,36625.0,4395.0,darjeeling,8,2,41020.0,recommended for family trip
589,a premium hotel olive branch darjeeling near gurudwara - best hotel in darjeelig,darjeeling,8.2,exceptional,5×standard king room5 large double bedsfree cancellationno prepayment needed– pay at the property,36625.0,4395.0,darjeeling,8,2,41020.0,recommended for family trip
590,jai hotels,darjeeling,8.0,very good,5×double deluxe room with 10% discount on soft beverages at j4 cafe5 large double bedsfree cancellationno prepayment needed– pay at the property,80198.0,9624.0,darjeeling,8,2,89822.0,recommended for family trip
591,graham hill homestay,darjeeling,8.2,No Review,1×family room1 double bedfree cancellationno prepayment needed– pay at the property,22050.0,2646.0,darjeeling,8,2,24696.0,recommended for family trip
592,himalayan meadows,darjeeling,7.0,good,1×deluxe double room1 double bedfree cancellation,38700.0,4644.0,darjeeling,8,2,43344.0,recommended for family trip
593,mountain view homestay darjeeling,darjeeling,8.6,fabulous,4×king room with mountain view8 double bedsfree cancellationno prepayment needed– pay at the property,39375.0,4725.0,darjeeling,8,2,44100.0,recommended for family trip
594,asraya homestay,darjeeling,9.3,superb,1×double room with balcony1 large double bedfree cancellationno prepayment needed– pay at the property,46500.0,5580.0,darjeeling,8,2,52080.0,recommended for family trip
595,norbu's homestay,darjeeling,8.7,fabulous,1×double room with mountain view1 double bedfree cancellation,53500.0,6420.0,darjeeling,8,2,59920.0,recommended for family trip
596,luxury stay at hotel broadway boutique mall road chowrasta near mahakal temple,darjeeling,8.5,very good,"1×deluxe family suite2 beds (1 double, 1 large double)free cancellationno prepayment needed– pay at the property",57840.0,6941.0,darjeeling,8,2,64781.0,recommended for family trip
597,b&b homestay,darjeeling,9.0,superb,1×double room with balcony (2 adults + 1 child)1 large double bedfree cancellation,30000.0,3600.0,darjeeling,8,2,33600.0,recommended for family trip
598,dsd bomzon homestay,darjeeling,9.4,superb,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,23500.0,2820.0,darjeeling,8,2,26320.0,recommended for family trip
599,lopchan homesstay,darjeeling,9.6,exceptional,1×double room1 double bedfree cancellationno prepayment needed– pay at the property,15000.0,1800.0,darjeeling,8,2,16800.0,recommended for family trip
600,little tibet resort mall road,darjeeling,6.9,review score,5×deluxe double or twin roomchoice of beds: singles or doublefree cancellation,81250.0,9750.0,darjeeling,8,2,91000.0,recommended for family trip
601,munglan homestay,darjeeling,9.2,superb,"1×double room with terrace2 beds (1 single, 1 double)free cancellationno prepayment needed– pay at the property",28375.0,3405.0,darjeeling,8,2,31780.0,recommended for family trip
602,mysa maya homestay,darjeeling,8.7,fabulous,"1×double room with mountain view2 beds (1 double, 1 sofa bed)",32975.0,3957.0,darjeeling,8,2,36932.0,recommended for family trip
603,bastola stay,darjeeling,6.7,review score,4×deluxe double room (2 adults + 1 child)4 double bedsfree cancellationno prepayment needed– pay at the property,44000.0,5280.0,darjeeling,8,2,49280.0,recommended for family trip
604,s sherpa homestay,darjeeling,8.2,exceptional,2×deluxe family suite4 large double bedsfree cancellationno prepayment needed– pay at the property,22800.0,2736.0,darjeeling,8,2,25536.0,recommended for family trip
605,"sita hotel & cottage, manali - a boutique wellness hotel",manāli,8.8,fabulous,5×king room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,11349.0,1362.0,manāli,8,2,12711.0,recommended for family trip
606,"ganga cottage !! 1,2,3 bedrooms cottage available near mall road manali","aleo, manāli",8.9,fabulous,5×deluxe double room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,14063.0,1688.0,manāli,8,2,15751.0,recommended for family trip
607,"woods villa cottages manali - 1,2,3,4 cottages & villas available in manali with scenic mountain view",manāli,9.2,superb,1×two-bedroom cottageentire bungalow,25480.0,3058.0,manāli,8,2,28538.0,recommended for family trip
608,hotel hollywood manali - scenic river & mountain view with premium rooms near mall road,manāli,9.4,superb,5×deluxe room5 double bedsfree cancellationno prepayment needed– pay at the property,24476.0,2937.0,manāli,8,2,27413.0,recommended for family trip
609,himalayan adventure cottages & budget friendly bnb manali,manāli,9.3,superb,"5×queen room with balcony10 beds (5 large doubles, 5 futons)free cancellation",24975.0,2997.0,manāli,8,2,27972.0,recommended for family trip
610,"the holly woods resort, manali - blissful view from rooms",manāli,8.6,fabulous,1×duplex suiteprivate suite,27720.0,3326.0,manāli,8,2,31046.0,recommended for family trip
611,the manu emerald # farmhouse # top selling cottage in manali # peaceful heritage cozy stay # lawn with bonfire # most awarded,manāli,8.3,very good,3×one-bedroom cottage3 entire bungalows,27000.0,3240.0,manāli,8,2,30240.0,recommended for family trip
612,hotel the sita classic - best selling hotel in manali,manāli,9.3,superb,5×king room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,27500.0,3300.0,manāli,8,2,30800.0,recommended for family trip
613,kartik mountain view cottage - a hidden gem - best selling property in manali,manāli,8.3,very good,5×queen room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,33750.0,4050.0,manāli,8,2,37800.0,recommended for family trip
614,himalayan riverside swiss cottages manali #riverside #big garden #parking #bonffire #music #budget friendly #adventure,manāli,8.4,very good,5×deluxe suite5 private suites,18750.0,2250.0,manāli,8,2,21000.0,recommended for family trip
615,"the rama lodge, manali - 1,2,3,4 bedrooms independent luxury cottages available with mountain view",manāli,7.8,good,3×one-bedroom cottage3 entire bungalows,19825.0,2379.0,manāli,8,2,22204.0,recommended for family trip
616,hotel d kanchan manali,"old manali, manāli",6.6,review score,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,8325.0,999.0,manāli,8,2,9324.0,recommended for family trip
617,nature valley resort manali 2 bedrooms luxury cottages,manāli,8.5,very good,2×two-bedroom cottage2 entire bungalows,24990.0,2999.0,manāli,8,2,27989.0,recommended for family trip
618,hide-in old manali,"old manali, manāli",8.3,very good,1×double room with mountain view1 large double bedfree cancellationno prepayment needed– pay at the property,27900.0,3348.0,manāli,8,2,31248.0,recommended for family trip
619,the prasher lodge mall road manali,"new manali, manāli",7.6,good,"2×deluxe triple room4 beds (2 singles, 2 extra-large doubles)free cancellation",35550.0,4266.0,manāli,8,2,39816.0,recommended for family trip
620,"himalayan nomad cottage, manali ! all 2 bedroom independent cottages ! personal lawn every cottage ! parking ! scenic mountains view ! spacious rooms !",manāli,8.8,fabulous,2×two-bedroom villa2 entire villas,24750.0,2970.0,manāli,8,2,27720.0,recommended for family trip
621,new suraj inn - nestled near hidimba temple ! rooftop cafe with hampta view ! private parking,manāli,8.5,very good,5×standard king room5 extra-large double bedsfree cancellationno prepayment needed– pay at the property,14400.0,1728.0,manāli,8,2,16128.0,recommended for family trip
622,"the himalayan cottage camping with bonfire, manali - a riverside retreat",manāli,8.2,exceptional,5×queen room with garden view5 double bedsfree cancellationno prepayment needed– pay at the property,24226.0,2907.0,manāli,8,2,27133.0,recommended for family trip
623,hotel himalayan valley view retreat - best selling riverside hotel in manali,manāli,9.2,superb,5×double room5 double bedsfree cancellationno prepayment needed– pay at the property,37481.0,4498.0,manāli,8,2,41979.0,recommended for family trip
624,hotel hilltop at mall road manali with open terrace,"new manali, manāli",7.9,good,5×deluxe room5 large double bedsfree cancellationno prepayment needed– pay at the property,22500.0,2700.0,manāli,8,2,25200.0,recommended for family trip
625,"sparsh resort, a boutique stay - just 2kms uphill from mall road, near old manali","old manali, manāli",8.9,fabulous,5×superior king room5 double bedsfree cancellation,42365.0,5084.0,manāli,8,2,47449.0,recommended for family trip
626,"manu villa, manali - independent luxury villas for family",manāli,8.2,exceptional,3×one-bedroom villa3 entire villas,29985.0,3598.0,manāli,8,2,33583.0,recommended for family trip
627,"the four season hotel & resort, manali - a blissful view from rooms",manāli,9.0,superb,5×double room5 double bedsfree cancellationno prepayment needed– pay at the property,24476.0,2937.0,manāli,8,2,27413.0,recommended for family trip
628,residency's royal galaxy palace,"old manali, manāli",7.8,good,5×deluxe room5 double beds,16858.0,2023.0,manāli,8,2,18881.0,recommended for family trip
629,"sita hotel & cottage, manali - a boutique wellness hotel",manāli,8.8,fabulous,5×king room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,11349.0,1362.0,manāli,10,0,12711.0,recommended for friends trip
630,"ganga cottage !! 1,2,3 bedrooms cottage available near mall road manali","aleo, manāli",8.9,fabulous,5×deluxe double room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,14063.0,1688.0,manāli,10,0,15751.0,recommended for friends trip
631,"woods villa cottages manali - 1,2,3,4 cottages & villas available in manali with scenic mountain view",manāli,9.2,superb,1×two-bedroom cottageentire bungalow,25480.0,3058.0,manāli,10,0,28538.0,recommended for friends trip
632,kartik mountain view cottage - a hidden gem - best selling property in manali,manāli,8.3,very good,5×queen room with balcony5 double bedsfree cancellationno prepayment needed– pay at the property,33750.0,4050.0,manāli,10,0,37800.0,recommended for friends trip
